station_id,hour,sessions,plugs_count,sessions_per_plug
61,11,151,6,25.166666666666668
150,8,139,6,23.166666666666668
124,11,139,6,23.166666666666668
119,13,137,6,22.833333333333332
176,12,135,6,22.5
27,11,134,6,22.333333333333332
27,9,133,6,22.166666666666668
78,13,133,6,22.166666666666668
62,9,132,6,22.0
92,8,132,6,22.0
144,12,132,6,22.0
55,12,131,6,21.833333333333332
118,15,131,6,21.833333333333332
176,8,130,6,21.666666666666668
60,11,130,6,21.666666666666668
98,9,130,6,21.666666666666668
145,9,130,6,21.666666666666668
36,11,129,6,21.5
36,12,129,6,21.5
55,8,129,6,21.5
157,8,129,6,21.5
165,15,129,6,21.5
67,9,129,6,21.5
36,15,129,6,21.5
134,10,129,6,21.5
124,10,128,6,21.333333333333332
82,10,128,6,21.333333333333332
122,14,128,6,21.333333333333332
92,13,128,6,21.333333333333332
62,15,128,6,21.333333333333332
